,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
417,2017-01-22,MessaGif,Consumer Internet,social messaging platform,new delhi,Undisclosed investor,Seed Funding,50000,1.0,['Undisclosed investor'],2017
418,2017-01-23,SmartHi,Technology,Audit automation Solutions,pune,Singapore based investor,Seed Funding,1070000,1.0,['Singapore based investor'],2017
419,2017-01-23,CRON,Technology,Border Intrusion Alert Solutions,new delhi,YourNest Fund II,Seed Funding,1070000,1.0,['YourNest Fund II'],2017
420,2017-01-23,CueMath,Technology,Maths Learning program,new delhi,"CapitalG, Sequoia India",Private Equity,15000000,2.0,"['CapitalG', ' Sequoia India']",2017
421,2017-01-23,ChipperSage,Technology,Online learning platform,bangalore,India Educational Investment Fund,Seed Funding,1070000,1.0,['India Educational Investment Fund'],2017
422,2017-01-24,SelectJobs,Consumer Internet,Online Job portal,mumbai,India Educational Investment Fund,Seed Funding,1070000,1.0,['India Educational Investment Fund'],2017
423,2017-01-24,Khel,Consumer Internet,Mobile-based Social Platform for Sports,bangalore,Indochine International,Private Equity,500000,1.0,['Indochine International'],2017
424,2017-01-24,NowFloats,Consumer Internet,Platform to take businesses online,hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,10000000,3.0,"['Iron Pillar and IIFL', ' Blume Ventures', ' Omidyar Network']",2017
425,2017-01-24,Lets,Consumer Internet,Online transport vehicle booking platform,bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,4000000,2.0,"['GMO Japan', ' Neelesh Bhatnagar']",2017
426,2017-01-24,BetaOut,Technology,ECommerce Marketing Software,noida,East Ventures & Others,Private Equity,1070000,1.0,['East Ventures & Others'],2017
427,2017-01-25,Wishberry,Consumer Internet,Crowdfunding Platform,mumbai,"Sharad Sharma, Rajan Anandan,  Amit Ranjan, Alok Mittal & others",Seed Funding,1070000,4.0,"['Sharad Sharma', ' Rajan Anandan', '\xa0 Amit Ranjan', ' Alok Mittal & others']",2017
428,2017-01-25,RML,Technology,Agri Decision Support Solution for farmers,pune,IvyCap Ventures,Private Equity,4000000,1.0,['IvyCap Ventures'],2017
429,2017-01-25,LoyaltyPrime,Technology,Loyalty program management solutions,new delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,1070000,3.0,"['Senovo', ' Unternehmertum Venture Capital', ' Alexander Bruehl']",2017
430,2017-01-25,InstaSafe,Technology,Security-as-a-Service solution provider,bangalore,ABM Knowledgeware,Private Equity,2200000,1.0,['ABM Knowledgeware'],2017
431,2017-01-25,Infibeam,eCommerce,eCommerce Marketplace,ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,8800000,2.0,"['Bennett', ' Coleman and Company Ltd']",2017
432,2017-02-01,99Games,Technology,Mobile Game Developer Studio,udupi,Dream Incubator,Seed Funding,1070000,1.0,['Dream Incubator'],2017
433,2017-01-26,AirMed,Consumer Internet,Health Tests Booking platform & ePharmacy,ahmedabad,Brand Capital,Private Equity,1400000,1.0,['Brand Capital'],2017
434,2017-01-26,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,chennai,V Aanand R,Seed Funding,300000,1.0,['V Aanand R'],2017
435,2017-01-26,Kochi,Consumer Internet,English Online News portal,kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,1070000,2.0,"['Rajesh Yohannan', ' Puthen & Cole']",2017
436,2017-01-30,Intuit,Technology,IoT solutions for home automation applications,mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000,1.0,['Sanjay Mehta & Others ( The Ten Minute Million)'],2017
437,2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,new delhi,The Ten Minute Million,Seed Funding,22500,1.0,['The Ten Minute Million'],2017
438,2017-01-30,FabX,eCommerce,Used Furniture Marketplace,mumbai,The Ten Minute Million,Seed Funding,68000,1.0,['The Ten Minute Million'],2017
439,2017-01-30,Maptags,Consumer Internet,Smart Online address tags,bangalore,The Ten Minute Million,Seed Funding,18000,1.0,['The Ten Minute Million'],2017
440,2017-01-30,YOLO,Consumer Internet,Online Healthcare platform,mumbai,Chandigarh Angels Network (CAN),Seed Funding,1070000,1.0,['Chandigarh Angels Network (CAN)'],2017
441,2017-01-31,Heads,eCommerce,Online Pet Products Store,new delhi,Undisclosed Investors,Private Equity,2000000,1.0,['Undisclosed Investors'],2017
442,2017-01-31,Register,Consumer Internet,Online Marriage Registration services,new delhi,Mumbai Angels,Seed Funding,1070000,1.0,['Mumbai Angels'],2017
443,2016-01-12,SidQam,Technology,Healthcare Software System,noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,1200000,3.0,"['SQue Capital', ' Grace Capital Ventures', ' Soham Vencaps']",2016
444,2016-01-12,India,Consumer Internet,Online Instant personal Loan provider,new delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,4000000,4.0,"['DSG Consumer Partners', ' American Express Ventures', ' Cyber Carrier VC', ' AdvantEdge Partners']",2016
445,2016-01-12,Slide,Consumer Internet,Lock screen Rewards mobile app,new delhi,Songhyun Investment,Private Equity,3600000,1.0,['Songhyun Investment'],2016
446,2016-02-12,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,new delhi,Undisclosed,Seed Funding,100000,1.0,['Undisclosed'],2016
447,2016-02-12,Streo,Consumer Internet,Live Music Streaming App,bangalore,"GEMs Advisory, Quarizon",Seed Funding,1070000,2.0,"['GEMs Advisory', ' Quarizon']",2016
448,2016-02-12,TYGR,Technology,Transport and logistics mobile App,mumbai,Franchise India,Private Equity,3000000,1.0,['Franchise India'],2016
449,2016-05-12,Mr,Consumer Internet,Online Food Ordering & Delivery Portal,indore,IvyCamp Ventures,Seed Funding,1070000,1.0,['IvyCamp Ventures'],2016
450,2016-05-12,UrDoorStep,eCommerce,Online Grocery Store,bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000,1.0,['Lakshmi Vilas Bank & undisclosed HNIs'],2016
