,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
1268,2016-10-02,Anandakanda,Technology,Medicine Intake Reminder System,pune,undisclosed investors,Seed Funding,150000,1.0,['undisclosed investors'],2016
1269,2016-10-02,JoulestoWatts,Technology,IT services & Talent collaboration services startup,bangalore,Manipal Global Education Services,Seed Funding,1070000,1.0,['Manipal Global Education Services'],2016
1270,2016-10-02,Shopkirana,Consumer Internet,Retailer Supply Chain platform,indore,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,1070000,3.0,"['Atul Jain', ' Anil Gelra', ' Jaikumar Nair']",2016
1271,2016-10-02,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,gurgaon,Jaideep Mehta,Seed Funding,1070000,1.0,['Jaideep Mehta'],2016
1272,2016-10-02,OyBob,eCommerce,Hyperlocal Products & Services marketplace,gurgaon,Sachin Dalal,Seed Funding,1070000,1.0,['Sachin Dalal'],2016
1273,2016-12-02,ActOnMagic,Technology,Cloud Analytics and Management Products,bangalore,Jayabalan Subramanian,Seed Funding,125000,1.0,['Jayabalan Subramanian'],2016
1274,2016-12-02,Bonhomia,Food & Beverage,premium Tea and Coffee,new delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000,2.0,"['Alok Rawat', ' Grey Orange Robotics']",2016
1275,2016-12-02,iGrenEnergi,Technology,Solar Power Solutions,mumbai,Sunil Mehta,Seed Funding,1000000,1.0,['Sunil Mehta'],2016
1276,2016-12-02,RKSV,Consumer Internet,Online Stock Trading Platform,mumbai,Kalaari Capital,Private Equity,4000000,1.0,['Kalaari Capital'],2016
1277,2016-02-15,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,mumbai,"Aspada Advisors, IDG Ventures,  Inventus Capital",Private Equity,5000000,3.0,"['Aspada Advisors', ' IDG Ventures', '\xa0 Inventus Capital']",2016
1278,2016-02-15,Snapdeal,eCommerce,Horizontal Online Marketplace,new delhi,Ontario Teachers’ Pension Plan & Others,Private Equity,200000000,1.0,['Ontario Teachers’ Pension Plan & Others'],2016
1279,2016-02-15,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,chandigarh,Saumya Tandon,Private Equity,1070000,1.0,['Saumya Tandon'],2016
1280,2016-02-15,Snapbizz,Technology,Connectivity platform for local grocery stores,bangalore,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
1281,2016-02-15,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,gurgaon,Mukesh Kumar Gupta,Seed Funding,50000,1.0,['Mukesh Kumar Gupta'],2016
1282,2016-02-15,RentSher,Consumer Internet,Online Household Product Rental platform,bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,300000,6.0,"['Vaibhav Doshi', ' Abhay Singhal', ' Vibhu Garg', ' Joby Babu', ' Abhishek Acharya', ' Manish Shah']",2016
1283,2016-02-15,Buddy,Finance,Micro Lending Platform for eCommerce purchases,bangalore,"Blume Ventures,  Tracxn Labs",Seed Funding,500000,2.0,"['Blume Ventures', '\xa0 Tracxn Labs']",2016
1284,2016-02-15,Legistify,Consumer Internet,Online Legal services platform,new delhi,Ranjit Singh,Seed Funding,1070000,1.0,['Ranjit Singh'],2016
1285,2016-02-16,TableHero,Consumer Internet,Dynamic Restaurant Website creator,bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,1000000,6.0,"['GrowX Ventures', ' Kunal Shah', ' Sandeep Tandon', ' Haresh Chawla', ' Powai Lake Ventures', ' Globevestor']",2016
1286,2016-02-16,BetterPlace,Technology,Data analytics based Verification services Platform,bangalore,Unitus Seed Fund,Seed Funding,970000,1.0,['Unitus Seed Fund'],2016
1287,2016-02-16,Salebhai,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace",ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",Seed Funding,1070000,3.0,"['Virendra Shekhawat', ' Deepak Chokhani', ' Yogesh Patel & Others']",2016
1288,2016-02-16,icustommadeit,eCommerce,Professional Custom creators Marketplace,pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000,3.0,"['Brand Capital', ' Siddhivinayak Skyscrapers', ' Dinesh R. Challa']",2016
1289,2016-02-16,Tring,Consumer Internet,Instant Messaging App,pune,Vishwadeep Bajaj & Others,Seed Funding,1070000,1.0,['Vishwadeep Bajaj & Others'],2016
1290,2016-02-16,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,1070000,3.0,"['Rajnish Sinha', ' Prijit Debnath', ' Kanchan Ghoshal']",2016
1291,2016-02-17,Timemytask,Consumer Internet,On-Demand home cleaning services,mumbai,Lead Angels,Seed Funding,1070000,1.0,['Lead Angels'],2016
1292,2016-02-17,GameZop,Technology,Mobile Gaming Platform,new delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,350000,2.0,"['KWAN Entertainment & Marketing Solutions', ' Powerhouse Ventures & Others']",2016
1293,2016-02-17,Notary,Consumer Internet,On-demand Legal documentation and registration service,bangalore,"Dr Nandish Domlur, Amit Sandill",Seed Funding,1070000,2.0,"['Dr Nandish Domlur', ' Amit Sandill']",2016
1294,2016-02-17,The,Consumer Internet,Independent Online Video production company,mumbai,Tiger Global,Private Equity,10000000,1.0,['Tiger Global'],2016
1295,2016-02-17,Avanti,Education,Private Coaching Classes,new delhi,Michael & Susan Dell Foundation,Private Equity,5000000,1.0,['Michael & Susan Dell Foundation'],2016
1296,2016-02-17,Bollant,Technology,Eco-friendly consumer & packaging products,hyderabad,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
1297,2016-02-18,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,new delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,1070000,2.0,"['Lightspeed Venture Partners', ' K Ganesh']",2016
1298,2016-02-18,HealthKumbh,Consumer Internet,Health related Information portal,ahmedabad,Undisclosed investor,Seed Funding,73000,1.0,['Undisclosed investor'],2016
1299,2016-02-18,Unlaze,Consumer Internet,Social Networking app for outdoor interests,gurgaon,"Sujal Shah, Dino Morea",Seed Funding,1070000,2.0,"['Sujal Shah', ' Dino Morea']",2016
1300,2016-02-18,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",Private Equity,1070000,6.0,"['Nandan Nilekani', ' Mohandas Pai', ' Neeraj Arora', ' Anand Rajaraman', ' Girish Mathrubootham', ' Aneesh Reddy & Teruhide Sato']",2016
1301,2016-02-18,Careongo,ECommerce,Online Pharmacy store,new delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,300000,1.0,['Farooq Oomerbhoy & Other angel investors'],2016
1302,2016-02-18,Ark,Technology,Warehouse Automation,bangalore,Qualcomm (Through QPrize Contest),Seed Funding,350000,1.0,['Qualcomm (Through QPrize Contest)'],2016
1303,2016-02-19,Jaypore,ECommerce,Ethnic Products marketplace,new delhi,Aavishkaar,Private Equity,5000000,1.0,['Aavishkaar'],2016
1304,2016-02-19,Finance,Consumer Internet,Online Loan Comparison & Discovery platform,bangalore,Chennai Angels,Seed Funding,1070000,1.0,['Chennai Angels'],2016
1305,2016-02-19,AlmaConnect,Consumer Internet,Alumni social network,new delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,1070000,2.0,"['Mohandas Pai', ' Varun Aggarwal']",2016
1306,2016-02-19,Advantage,Consumer Internet,mobile platform for corporate employee benefits,gurgaon,Purvi Ventures & Others,Seed Funding,400000,1.0,['Purvi Ventures & Others'],2016
1307,2016-02-19,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,bangalore,3 undisclosed investors,Seed Funding,1070000,1.0,['3 undisclosed investors'],2016
1308,2016-02-22,Baby,Consumer Internet,Parenting Mobile app,bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,1000000,1.0,['Nitin Bagmane & Other undisclosed investors'],2016
1309,2016-02-22,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,new delhi,Lightspeed India,Private Equity,3000000,1.0,['Lightspeed India'],2016
1310,2016-02-22,First,Consumer Internet,Healthy Food Delivery platform,new delhi,Undisclosed investor,Seed Funding,100000,1.0,['Undisclosed investor'],2016
1311,2016-02-22,SigTuple,Technology,Healthcare based Tech Solutions,bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,1070000,3.0,"['Sachin Bansal', ' Binny Bansal', ' Accel Partners & Others']",2016
1312,2016-02-22,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000,3.0,"['IvyCap Ventures', ' Orios Venture Partners', ' Mayfield India']",2016
1313,2016-02-22,Styledotme,Consumer Internet,Mobile Fashion App,new delhi,Indian Angel Network,Seed Funding,37000,1.0,['Indian Angel Network'],2016
1314,2016-02-22,NewsLaundry,Consumer Internet,Independent News Media Portal,new delhi,"Omidyar Network,  Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,1070000,5.0,"['Omidyar Network', '\xa0 Vikram Lal', ' Abhijit Bhandari', ' Mahesh Murthy', ' Shashank Bhagat']",2016
1315,2016-02-23,CupoNation,Consumer Internet,Deals and Discount platform,gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000,7.0,"['Rocket Internet AG', ' Holtzbrink Ventures', ' New Enterprise Associates (NEA)', ' e.ventures', ' ru-Net', ' Deutsche Telekom Strategic Investments (DTSI)', ' Silicon Valley Bank']",2016
1316,2016-02-23,Aarav,Technology,unmanned aerial vehicles creator,kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,1070000,2.0,"['StartupXseed Ventures', ' The Phoenix Fund and others']",2016
1317,2016-02-24,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,bangalore,Yajnanarayana Kammaje,Seed Funding,160000,1.0,['Yajnanarayana Kammaje'],2016
1318,2016-02-24,LoanZen,Consumer Internet,Peer to peer Lending marketplace,bangalore,Tracxn Syndicate,Seed Funding,1070000,1.0,['Tracxn Syndicate'],2016
1319,2016-02-24,NoBroker,Consumer Internet,Peer to peer property listing platform,bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000,6.0,"['Beenext', ' Digital Garage', ' Beenos', ' Qualgro', ' Mamoru Taniya', ' SAIF Partners']",2016
1320,2016-02-24,AppilyEver,Consumer Internet,Online wedding services marketplace,hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,400000,3.0,"['Varun Aggarwal', ' Suresh Venkat', ' Raj Y']",2016
1321,2016-02-24,Pocketin,Consumer Internet,Hotel reservations & Deal platform,noida,Swastika Company Ltd,Seed Funding,150000,1.0,['Swastika Company Ltd'],2016
1322,2016-02-24,FeetApart,Consumer Internet,Employee engagements & Rewards platform,bangalore,Vishal Bali & Others,Seed Funding,1070000,1.0,['Vishal Bali & Others'],2016
1323,2016-02-25,OfBusiness,eCommerce,B2B commerce Marketplace,gurgaon,Matrix Partners India,Private Equity,5000000,1.0,['Matrix Partners India'],2016
1324,2016-02-25,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,bangalore,"Calcutta Angels, Lead Angels & Others",Seed Funding,1070000,2.0,"['Calcutta Angels', ' Lead Angels & Others']",2016
1325,2016-02-25,Juspay,Consumer Internet,Digital Payments solutions,bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,5800000,4.0,"['Accel Partners', ' Ashish Hemrajani', ' Parikshit Dar', ' Rajesh Balpande']",2016
1326,2016-02-25,Funcart,eCommerce,Party Supplies Etailer,new delhi,Undisclosed HNIs,Seed Funding,70000,1.0,['Undisclosed HNIs'],2016
1327,2016-02-26,Freedom,Technology,IoT retail solutions,new delhi,Kapil Goel,Seed Funding,145000,1.0,['Kapil Goel'],2016
1328,2016-02-26,EduBridge,Consumer Internet,Skill development and vocational training platform,mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000,2.0,"['Insitor Impact Asia Fund', ' Acumen Fund']",2016
1329,2016-02-29,Nestaway,Consumer Internet,Online Home Rental Marketplace,bangalore,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
1330,2016-02-29,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,mumbai,Eduardo Saverin,Private Equity,13000000,1.0,['Eduardo Saverin'],2016
1331,2016-02-29,PinClick,Consumer Internet,Online real estate listings,bangalore,Undisclosed investors,Private Equity,1070000,1.0,['Undisclosed investors'],2016
1332,2016-01-01,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,new delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,1070000,5.0,"['Rajan Anandan', ' Pramod Bhasin', ' Siddharth Pai', ' TV Mohandas Pai', ' Manvinder Singh Banga']",2016
1333,2016-01-01,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,mumbai,Undisclosed Investors,Seed Funding,1070000,1.0,['Undisclosed Investors'],2016
1334,2016-04-01,DogSpot,ECommerce,Online Pet Store,gurgaon,Ratan Tata,Seed Funding,1070000,1.0,['Ratan Tata'],2016
1335,2016-04-01,Career360,Education,College Education Portal,new delhi,MeritTrac,Private Equity,1070000,1.0,['MeritTrac'],2016
1336,2016-04-01,B9,Food & Beverage,Craft Beer manufacturing company,new delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000,6.0,"['Sequoia Capital', ' Kunal Bahl', ' Rohit Bansal', ' Deepinder Goyal', ' Ashish Dhawan', ' Mayank Singhal']",2016
1337,2016-05-01,WIMWI,Food & Beverage,Healthy food manufacturing & sales startup,ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,1070000,1.0,['Centre for Innovation Incubation and Entrepreneurship (CIIE)'],2016
1338,2016-05-01,MyChild,Education,Child Disorder Information & Education,bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000,10.0,"['Samir Bangara', ' Anisha Mittal', ' Amit Gupta', ' Pallav Nadhani', ' Lalit Mangal', ' Arihant Patni', ' Dr. Ritesh Malik', ' Deobrat Singh', ' Saurab Paruthi', ' Singapore Angel Network.']",2016
1339,2016-05-01,Instaproc,ECommerce,B2B Procurement Marketplace for Office Products,noida,Dinesh Agarwal,Seed Funding,1070000,1.0,['Dinesh Agarwal'],2016
1340,2016-05-01,360Ride,Consumer Internet,Ride Sharing platform,bangalore,Undisclosed,Seed Funding,150000,1.0,['Undisclosed'],2016
1341,2016-05-01,AlefMobitech,Consumer Internet,Cloud Mobility Solutions,mumbai,Tata Capital Innovation Fund,Private Equity,5000000,1.0,['Tata Capital Innovation Fund'],2016
1342,2016-06-01,Tracxn,BFSI,Startup Funding Deal Discovery & Execution platform,bangalore,Ratan Tata,Seed Funding,1070000,1.0,['Ratan Tata'],2016
1343,2016-06-01,Qdesq,Real Estate,Branded Workspaces Aggregator,gurgaon,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,1070000,5.0,"['Dheeraj Jain', ' Jagdish Kumar', ' Bharat Gupta', ' Ankush Saigal', ' Praveen Saini']",2016
1344,2016-06-01,Sensara,Technology,"TV Search, Guide and Remote mobile app",bangalore,"Lalitesh Katragadda,  Ganayantrika Systems",Seed Funding,750000,2.0,"['Lalitesh Katragadda', '\xa0 Ganayantrika Systems']",2016
1345,2016-06-01,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000,3.0,"['Arjun Handa', ' Amit Jindal', ' Nagendra Chaudhary']",2016
1346,2016-06-01,PlanMyMedicalTrip,Healthcare,Medical Tourism platform,pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000,2.0,"['Bhanu Vikram Parsotam', ' Rohan Desai and Paras Patel']",2016
1347,2016-06-01,MyCity4Kids,Education,Children Education & Information platform,gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000,2.0,"['SIDBI Venture Capital Limited', ' YourNest Angel Fund']",2016
1348,2016-06-01,Justdakhila,Education,School Student admissions platform,new delhi,Ankur Gupta,Seed Funding,750000,1.0,['Ankur Gupta'],2016
1349,2016-07-01,PitStop,Consumer Internet,Automobile Service Booking App,bangalore,Myntra/LivSpace Founders,Seed Funding,1070000,1.0,['Myntra/LivSpace Founders'],2016
1350,2016-07-01,Bikxie,Consumer Internet,Two Wheeler Taxi Service,gurgaon,Undisclosed Investors,Seed Funding,1070000,1.0,['Undisclosed Investors'],2016
1351,2016-07-01,Infurnia,Consumer Internet,Online Furniture Customization platform,bangalore,Idein Ventures,Seed Funding,160000,1.0,['Idein Ventures'],2016
1352,2016-07-01,Myly,Education,Mobile Based Education platform,jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000,1.0,['Newbie Promoter Pvt Ltd'],2016
1353,2016-07-01,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,gurgaon,Ctrip.com International Ltd,Private Equity,180000000,1.0,['Ctrip.com International Ltd'],2016
1354,2016-08-01,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,bangalore,Lightbox Ventures,Private Equity,5000000,1.0,['Lightbox Ventures'],2016
1355,2016-08-01,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000,5.0,"['Krishna Jhujhunwala', ' Dr. Apoorv Ranjan Sharma', ' Anirudh Damani', ' Anand Ladsariya', ' Sanjay Mehta & Others']",2016
1356,2016-08-01,Gyaanzone,Education,Career Planning and Education Advisory Platform,mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000,1.0,['GBIM Technologies Pvt Ltd'],2016
1357,2016-08-01,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,gurgaon,Arun Chandra Mohan,Seed Funding,1070000,1.0,['Arun Chandra Mohan'],2016
1358,2016-09-01,Lumiere,ECommerce,Organic Food eTailer,bangalore,Undisclosed investors,Private Equity,1070000,1.0,['Undisclosed investors'],2016
1359,2016-11-01,Koovs,ECommerce,Online Fashion Apparel Retailer,gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000,2.0,"['Nahata Family', ' Waheed Alli']",2016
1360,2016-11-01,Wishup,Consumer Internet,Mobile app based Concierge Service,new delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,1070000,3.0,"['500 Startups', ' Mato Peric', ' TracxnLabs']",2016
1361,2016-11-01,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000,2.0,"['Zodius Capital', ' Lightspeed Venture Partners']",2016
1362,2016-11-01,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000,2.0,"['TV Mohandas Pai', ' LetsVenture']",2016
1363,2016-11-01,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,mumbai,Ranjan Mahtani,Seed Funding,1070000,1.0,['Ranjan Mahtani'],2016
1364,2016-12-01,Shopclues,ECommerce,ECommerce Marketplace,gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000,3.0,"['GIC', ' Tiger Global Management', ' Nexus Venture Partners']",2016
1365,2016-12-01,Hike,Consumer Internet,P2P Messaging Service,new delhi,"Matt Mullenweg, Adam D’Angelo, Aditya Agarwal,  Ruchi Sanghvi & Others",Private Equity,1070000,4.0,"['Matt Mullenweg', ' Adam D’Angelo', ' Aditya Agarwal', '\xa0 Ruchi Sanghvi & Others']",2016
1366,2016-12-01,iBus,Technology,Next Generation in-building connectivity,bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000,3.0,"['Vallabh Bhanshali', ' N Squared Management LLC', ' Jagdish & Sandeep Mehta Family Office']",2016
1367,2016-12-01,Happy2Refer,Consumer Internet,Mobile based Referral Platform,mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000,3.0,"['Equity Crest', ' Vinners', ' Sparknext']",2016
1368,2016-01-13,CarTrade,Consumer Internet,Auto Classifieds Portal,mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000,3.0,"['Temasek Holdings', ' March Capital', ' Warburg Pincus']",2016
1369,2016-01-13,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,100000,1.0,['Shiva Ashok & Other unnamed investors'],2016
1370,2016-01-13,Roder,Consumer Internet,inter-city cab aggregator,new delhi,Unicorn India Ventures,Seed Funding,240000,1.0,['Unicorn India Ventures'],2016
1371,2016-01-13,Bucker,Consumer Internet,Food Ordering Mobile App,hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,1070000,4.0,"['50k Ventures', ' Munish Jauhar', ' Pulkit Jain', ' Rohit Narang']",2016
1372,2016-01-13,Care24,Healthcare,Professional Health Services Platform,mumbai,"SAIF Partners, India Quotient",Private Equity,4000000,2.0,"['SAIF Partners', ' India Quotient']",2016
1373,2016-01-13,Obino,Healthcare,Weigh Loss Coaching,mumbai,RoundGlass Partners,Private Equity,1070000,1.0,['RoundGlass Partners'],2016
1374,2016-01-14,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,bangalore,Amod Malviya,Seed Funding,1070000,1.0,['Amod Malviya'],2016
1375,2016-01-14,Buildkar,ECommerce,Construction Material Marketplace,bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,1070000,2.0,"['Mustafa Wajid', ' Umang Kumar & Others']",2016
1376,2016-01-14,Orahi,Consumer Internet,Carpooling Mobile App,gurgaon,Indian Angel Network,Seed Funding,520000,1.0,['Indian Angel Network'],2016
1377,2016-01-14,Zapr,Technology,TV to Mobile audience Platform,gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,1070000,9.0,"['Flipkart', ' Saavn', ' Micromax', ' Dhiraj Rajaram', ' Ambiga Dhiraj', ' Dinesh Agarwal', ' Samir Bangara', ' Sanjay Nath', ' Arihant Patni']",2016
1378,2016-01-15,Remidio,Healthcare,Healthcare Product Manufacturer,bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,1070000,1.0,['Cipher-Plexus Capital Advisors & Indian HNIs'],2016
1379,2016-01-15,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000,4.0,"['Varun Khurana', ' Samar Singla', ' Vinay Bansal', '']",2016
1380,2016-01-15,evibe,Consumer Internet,Party Hall Booking platform,bangalore,"Hyderabad Angels, Lalit Mangal,  Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,1070000,5.0,"['Hyderabad Angels', ' Lalit Mangal', '\xa0 Vikas Malpani', ' Gaurav Bhalotia', ' LV Prasad']",2016
1381,2016-01-15,Zoctr,Consumer Internet,healthcare aggregator platform,mumbai,Times Group,Seed Funding,1070000,1.0,['Times Group'],2016
1382,2016-01-15,Jobick,Consumer Internet,Mobile app based Job Search,noida,Abhinav Mathur,Seed Funding,1070000,1.0,['Abhinav Mathur'],2016
1383,2016-01-16,Plick,Consumer Internet,Instant Content Transfer Mobile App,mumbai,Sanjay Mehta,Seed Funding,1070000,1.0,['Sanjay Mehta'],2016
1384,2016-01-18,Voice,Consumer Internet,Dating & Singles Chat Platform,mumbai,Huzaifa Khorakiwala,Seed Funding,1070000,1.0,['Huzaifa Khorakiwala'],2016
1385,2016-01-18,Kartrocket,Consumer Internet,SAAS DIY  ECommerce Platform,new delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000,4.0,"['Bertelsmann India Investments', ' Nirvana Digital India Fund', ' Nirvana Digital Investment Holding', ' 500 Startups']",2016
1386,2016-01-19,Swiggy,Consumer Internet,Online/Mobile food ordering platform,bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000,2.0,"['Harmony Partners', ' RB Investments & existing investors']",2016
1387,2016-01-19,TinyStep,Consumer Internet,Parenting Social Network,bangalore,Flipkart,Seed Funding,1070000,1.0,['Flipkart'],2016
1388,2016-01-19,Cashkaro,Consumer Internet,Coupon & Cashback platform,gurgaon,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
1389,2016-01-19,Gameezop,Consumer Internet,Casual Gaming platform,new delhi,Anand Chandrasekaran & Others,Seed Funding,1070000,1.0,['Anand Chandrasekaran & Others'],2016
1390,2016-01-19,DailyObjects,ECommerce,Mobile Accessories etailer,new delhi,"Unilazer Fund,  Phanindra Sama, Peyush Bansal",Private Equity,1400000,3.0,"['Unilazer Fund', '\xa0 Phanindra Sama', ' Peyush Bansal']",2016
1391,2016-01-19,Indus,Technology,Local language Mobile OS,mumbai,"Omidyar Network,",Private Equity,5000000,2.0,"['Omidyar Network', '']",2016
1392,2016-01-19,CollegeDunia,Consumer Internet,Educational College Search platform,new delhi,Umang Kumar,Seed Funding,445000,1.0,['Umang Kumar'],2016
1393,2016-01-19,Villgro,Finance,Social Business Incubator & Fund,chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000,2.0,"['Lemelson Foundation', ' Michael and Susan Dell Foundation']",2016
1394,2016-01-20,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,new delhi,500 Startups,Private Equity,1070000,1.0,['500 Startups'],2016
1395,2016-01-20,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,new delhi,Trifecta Capital,Private Equity,1800000,1.0,['Trifecta Capital'],2016
1396,2016-01-20,Just,ECommerce,B2B Marketplace for Distributors,mumbai,Alpha Capital,Private Equity,20000000,1.0,['Alpha Capital'],2016
1397,2016-01-20,IMbesharam,ECommerce,Adult Products Etailers,new delhi,Undisclosed US Based Investors,Private Equity,4000000,1.0,['Undisclosed US Based Investors'],2016
1398,2016-01-20,Moodoo,Consumer Internet,Social Meeting organizer App,mumbai,Saïd Business School Seed Fund.,Seed Funding,40000,1.0,['Saïd Business School Seed Fund.'],2016
1399,2016-01-20,Saral,Healthcare,Women Hygiene Product Manufacturer,mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,1070000,3.0,"['Farooq Adam', ' Ambi Parameswaran', '']",2016
1400,2016-01-21,FirstCry,ECommerce,Kids Focused eTailer,pune,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
1401,2016-01-21,Fisdom,Consumer Internet,Personal Finance Mobile App,bangalore,Rob Chandra,Seed Funding,500000,1.0,['Rob Chandra'],2016
